Special_Name,Old_Name,Parliament
M Saravanan,M. Saravanan,Tapah
Madius Tangau,Wilfred Madius Tangau,Tuaran
Mah Hang Soon,Mah Hang Soon,Senator
Mahathir Mohamad,Mahathir Mohamad,Langkawi
Mahdzir Khalid,Mahdzir Khalid,Padang Terap
Mahfuz Haji Omar,Mahfuz Haji Omar,Pokok Sena
Ma'mun Sulaiman,Ma'mun Sulaiman,Kalabakan
Mansor Othman,Mansor Othman,Nibong Tebal
Maria Chin Abdullah,Maria Chin Abdullah,Petaling Jaya
Marzuki Yahya,Marzuki Yahya,Senator
Mas Ermieyati Samsudin,Mas Ermieyati Samsudin,Masjid Tanah
Masir Kujat,Masir Kujat,Sri Aman
Mastura Mohd Yazid,Mastura Mohd Yazid,Kuala Kangsar
Maszlee Malik,Maszlee Malik,Simpang Renggam
Maximus Johnity Ongkili,Maximus Johnity Ongkili,Kota Marudu
Md Farid Md Rafik,Md Farid Md Rafik,Tanjong Piai
Michael Teo Yu Keng,Michael Teo Yu Keng,Miri
Mohamad Alamin,Mohamad Alamin,Kimanis
Mohamad Sabu,Mohamad Sabu,Kota Raja
Mohamaddin Ketapi,Mohamaddin Ketapi,Lahad Datu
Mohamed Azmin Ali,Mohamed Azmin Ali,Gombak
Mohamed Hanipa Maidin,Mohamed Hanipa Maidin,Sepang
Mohamed Nazri Abdul Aziz,Mohamed Nazri Abdul Aziz,Padang Rengas
Mohd Anuar Mohd Tahir,Mohd Anuar Mohd Tahir,Temerloh
Mohd Azis Jamman,Mohd Azis Jamman,Sepanggar
Mohd Fasiah Mohd Fakeh,Mohd Fasiah Mohd Fakeh,Sabak Bernam
Mohd Hatta Md Ramli,Mohd Hatta Md Ramli,Lumut
Mohd Khairuddin Aman Razali,Mohd Khairuddin Aman Razali,Kuala Nerus
Mohd Najib Tun Abd Razak,Mohd Najib Tun Abd Razak,Pekan
Mohd Radzi Md Jidin,Radzi Jidin,Senator
Mohd Rashid Hasnon,Mohd Rashid Hasnon,Batu Pahat
Mohd Redzuan Yusof,Mohd Redzuan Md Yusof,Alor Gajah
Mohd Shafie Haji Apdal,Mohd Shafie Haji Apdal,Semporna
Mohd Shahar Abdullah,Mohd Shahar Abdullah,Paya Besar
Mordi Bimol,Mordi Bimol,Mas Gading
